full_text,emotion
Geledah Kementerian ESDM KPK Amankan Dokumen Soal Dugaan Pencairan Fiktif Tukin ASN https://t.co/Wnp1HORTnl,joy
Geledah Dirjen Minerba dan Kementerian ESDM KPK Temukan Bukti Dugaan Pencairan Tukin Fiktif https://t.co/BSCSCA7lno #AliFikri #DirjenMinerba #KementerianESDM #KorupsiTukin,trust
KPK Duga Terdapat Pencairan Tukin Fiktif di Kementerian ESDM https://t.co/2kcEDDyKR2,joy
Geledah 2 Kantor Kementerian ESDM KPK Sita Dokumen Fiktif Pencairan Tukin https://t.co/GbsknNQK97,joy
Geledah kantor ESDM KPK amankan dokumen terkait pencairan fiktif tukin pegawai. https://t.co/8gGcfwCmlL https://t.co/CNuvX2ReBY,trust
@habibihabobo @Cheeseislikeu Mungkin juga dari potongan autodebit setelah pencairan tukin?,neutral
@PNS_Ababil ngeri amat tukin di potong klo saya mah pencairan yg dipotong ,fear
Harta Menyusut Bupati Bandung Barat: Pencairan Tukin dan Dana Operasional Telat https://t.co/iX6LmHWaqD,sadness
Mohon maaf pak kyai menteri sejak perintah jenengan untuk pengurusan keuangan PNS guru harus lewatkemenag pencairan tukin untuk untuk guru sampai sekarang belum. Padahal untuk pegawai TU yang sama sama satu sekolah sudah cair. Kenapa untuk guru tidak di cairkan oleh kemenag..,neutral
@ciptadyanton @kemendagri @jokowi Izin dari @kemendagri katanya belum diberikan rekomendasi pencairan sehingga menghambat pencairan TPP atau Tukin ASN . Ayo lah @kemendagri @jokowi masa iya tiap tahun di awal tahun kayak gini Ah,neutral
Kapan Rekomendasi Pencairan Tukin Turun Dari Pusat? Ini Bocoran Dari Kepala BPKAD Bandar Lampung https://t.co/o9dcXVZoRN,sadness
Apakah krn 1 oknum PNS bikin JUTAAN PNS nantinya jadi: - Terkendala Naik Gaji - Terkendala Naik TPP/ Tukin - Terkendala Pencairan TPP/ Tukin - Terkendala Pencairan sertifikasi - Dianggap semua PNS BGSt - Dianggap semua PNS Serakah Klo bener gue sumpain 7 turunan dia sengsara ,joy
Tambahan penghasilan pegawai (TPP) atau tunjangan kinerja (Tukin) di Lampung Selatan belum cair. Pencairan itu terkendala izin yang belum diterima dari Kemendagri. #Kemendagri #Lampungpost https://t.co/DzJKcmQayi,joy
Tenang april nanti bakal bertubi-tubi: 1. Rapel TPP (kalo ada) 2. THR Gaji (kalo ada) 3. THR Tukin (kalo ada) 4. Insentif (kalo ada) 5. THR khusus (kalo ada) 6. Rapel Perjadin (kalo ada) 7. Pencairan sertifikasi (kalo ada),joy
@resa_theresia @Guru_PNS 1. nonser dri kemendikbud 2. tukin dr pemda (besaran bergantung keputusan kepala daerah) . keduanya ditujukan utk yg blm berserdik. pencairan poin 2 tidak ada sangkut pautnya sama poin 1 tinggal pemda mau ngasih tukin guru nonser atau enda,fear
@JjHerlambang @awemany @kpertiwi29 @PNS_Ababil Biar kita nggak dongkol pas proses pencairan gaji + tukin mereka yang kerjaannya dikerjakan staf,joy
Tukin telat seminggu gw masih santai tapi QRIS hasil bazaar pekan lalu ga masuk2 ke rekening ini bikin gusar ga karuan. Infonya ada kendala pencairan QRIS ya min? @HaloBCA @mandiricare @kontakBRI,anger
baru kerasa ketimpangannya kapan nih reformasi gaji biar gak jomplang banget pas urus pencairan dana ditanya ini beneran tukin kepala kantor? kok masih lebih tinggi kami wkwkw,joy
@pejabrut gak usah ngayal kemaren udah bendahara udah minta ttd pencairan G13 cuma 50% tukin wkwk,trust
KAPAN Pencairan Gaji Ke-13 PNS/ASN TNI - Polri 50 Persen Tunjangan Kinerja (Tukin) https://t.co/JzRIPc3wBI via @tribunmedan,joy
@shesagnostic @pejabrut Sudah masuk peringatan waktu UP atau pencairan TUKIN? Hahaha 24 jam stnbay ini pekerjaan mah...,fear
@pppkguru Percaya gak kalau ditempat saya jadi PPK TPG dicairkan rutin bulan berikutnya seperti pencairan tukin. Karna gak ada aturan TPG harus dirapel.,trust
Bukan Hanya ASN PPPK Juga Dapat THR Gaji 13 Serta Tukin Cek Jadwal Pencairan dan Besaran THR Diterima PPPK https://t.co/iXEQpgS6qM,joy
Pencairan THR dan Tukin Menunggu Teknis Pusat https://t.co/WUsrqBTZTQ https://t.co/ZH7gGU1jbU,neutral
https://t.co/eXhDmywPM9 - Soal Pencairan THR dan Tukin ASN Ini Kata Gubernur Sumsel https://t.co/sy2wVlJOS1,trust
Tidak hanya THR dan tukin pemerintah juga mengatur mengenai pencairan gaji ke-13 Pegawai Negeri Sipil (PNS). Ini rinciannya https://t.co/c0OGCESjme,fear
@siti_rahmawt @Rukyuby17 @PNS_Ababil Kalo slip gaji april sudah ada berarti bisa pencairan thr bulan ini. Kalo belum ada bakal dirapel ke gaji bulan depan. Begitu pula dengan tukin.,joy
Sri Mulyani Bakal Umumkan Pencairan THR PNS Ada Bonus Tukin 50 Persen https://t.co/ufwRLU1L8F,joy
Kabar Baik! Jokowi Pastikan Pencairan THR PNS dan Gaji ke-13 Plus Tukin 50 Persen https://t.co/of9BvKdfB8,joy
Kabar Baik! Jokowi Pastikan Pencairan THR PNS dan Gaji ke-13 Plus Tukin 50 Persen https://t.co/of9BvKdNqG via @Indopolitika,joy
#News #antara #antaranews #antaranews #aremaniainfo Presiden pastikan pencairan THR 2022 beserta tukin bagi PNS ANTARA News https://t.co/1ZqtmN8hmJ,neutral
Presiden pastikan pencairan THR 2022 beserta tukin bagi PNS https://t.co/6Le3Dapl2Y,neutral
Pemerintah Kota Bandar Lampung akan segera mencairkan tunjangan kinerja (Tukin) bagi ASN. Namun pencairan baru untuk tunjangan Januari. #Bandarlampung #Tunjangankinerjaasn #Lampungpost https://t.co/RZqzt2TH9L,fear
Pak Putut Riyatno memberikan klarifikasi soal kekhawatiran PNS BKKBN terkait pencairan tukin Februari. #BKKBN https://t.co/DOB1iPUE6v,trust
@PNS_Ababil Anjab &amp; ABK min ditambah mantengin aplikasi buat pencairan TUKIN. ,neutral
@sigitsh__ @PNS_Ababil Pencairan apa mas? Tukin atau apa?,neutral
Selamat pagi bapak ibu.... Untuk pencairan tukin prosesnya masih upload SPM diSAKTI kemaren dan hari ini ada kendala proses OTP PPSPM sehingga SPM tidak bisa diupload. ‍️‍️‍️,anger
@afrkml Masuk ners urusin pencairan gaji dan tukin. Semangaatt....,joy
Kemenag Targetkan Pencairan Kekurangan Pembayaran Tukin Guru dan Pengawas PAI Tahun Ini https://t.co/UNZnqDYPja,neutral
Kekurangan Tukin Guru dan PAI dalam Proses Pencairan Ini Jumlahnya! https://t.co/yLX0A70uUr,neutral
Pencairan tukin guru dilakukan dengan cermat akurat cepat dan jangan dipotong https://t.co/aSiMj2e2OT,neutral
@PendisKemenag Terima kasih seluruh jajaran @Kemenag_RI yg berkaitan langsung dengan pencairan tukin guru @Kemenag_RI khususnya guru non serti,neutral
@PNS_Ababil Pencairan tukin minbil. ,neutral
JAKARTA - Pencairan THR untuk PNS atau ASN tahun 2021 diberikan tanpa tunjangan kinerja (tukin). Sehingga hanya sebesar gaji pokok dan beberapa https://t.co/TGkJ4tQTed,joy
Menkeu Sri Mulyani memastikan pencairan THR untuk PNS TNI/Polri dan pensiunan tahun ini masih tanpa tunjangan kinerja (tukin) https://t.co/2ejP5xWkwJ,neutral
@fmmercure @cccc0123cccc @ariesadhar @PNS_Ababil Di instansi saya kalo tukin memang cair terpisah beda tanggal sama gaji. Jadi gaperna berharap melebihi 12x pencairan ,joy
@halugeng @PNS_Ababil waaah sama dong yah tgl 20 pencairan tukin,neutral
Meskipun masalah tukin masih simpang siur kami semua tetap semangat kerja karena kemaren sudah ttd pencairan gaji,joy
hari ini dapat notif diminta ttd buat pencairan tukin. Alhamdulillah ada pulang nang dihadangi,neutral
@el_lailys @PNS_Ababil Tergantung dr tiap kementerian ya kayaknya kalo di kemdikbud ada di e skp. Ada log harian kaya sehari itu ngerjain apa aja (dr skp yg sudah diajukan) trus nanti diakumulasi tiap bulan sbg salah satu komponen pencairan tukin dibulan berikutnya. Cmiiw. *Sy juga umbi baru koo ,anger
@mofrizal nunggu gajian + tukin + uang makan sama pencairan sppd wkwkwkwk,neutral
@Dennysiregar7 Min @DivHumas_Polri hbt bgt @Dennysiregar7 bisa tau perintah beginian di institusi Polri. Sebaiknya dipercepat pencairan tukin nya....,neutral
Diketahui untuk tahun ini pencairan THR dan gaji ke-13 PNS tidak meliputi tunjangan kinerja atau tukin.,joy
@PNS_Ababil tempatku tiap tanggal 1 SP2D dari KPPN pasti terbit dan langsung proses pencairan gaji meskipun tgl merah. kalo tukin+uang makan antara tanggal 2-4 wkwk asal SKP sekantor beres mangkannya beresin SKP woey ,joy
Selain itu pencairan gaji ke-13 PNS tahun ini tidak meliputi tunjangan kinerja atau tukin.,joy
Menpan-RB Tjahjo Kumolo mengusulkan kepada Kementerian Keuangan untuk menunda pencairan Tukin PNS yang instansinya belum menyederhanakan birokrasi. https://t.co/4lfHGqgqSh,trust
Jika ada instansi yang belum melakukan penyederhanaan birokrasi maka pencairan hingga usulan kenaikan tunjangan kinerja (tukin) bagi PNS/ASN akan ditunda. https://t.co/cpVtTekQoJ,joy
Jika ada instansi yang belum melakukan penyederhanaan birokrasi maka pencairan hingga usulan kenaikan tunjangan kinerja (tukin) bagi PNS/ASN akan ditunda. via @detikfinance https://t.co/ZMY4L2Qqvw,joy
Kementerian Keuangan (Kemenkeu) diusulkan untuk menunda pencairan anggaran Tunjangan Kinerja (tukin) bagi instansi yang belum mereformasi birokrasi. https://t.co/CrWlwEtJak #pns #tjahjokumolo #kemenpanrb,trust
@Kemenag_RI Kami segenap Guru Non Sertivikasi ASN kementrian Agama mengharapkan pencairan TUKIN yang sedari 2015 aturan sudah ada dan lengkap namun belum juga tersalurkan sampai sekarang itu sebuah janji yang bukan fatamorgana yang terus akan di ingat akan HAK TUKIN GURU non sertivikasi.,trust
@Kemenag_RI @imZuhud2 Yang di pikirkan yang sebelah mana ? Untuk TUKIN Guru Non Sertivikasi sampai sekarang juga masih belum clearrrrr padahal sejak 2015 PREPRES sama KMA sudah ada bahkan Juknis Pencairan sampe sekarang bermunculan namun realita masih rancuhhh Haduhhhh,neutral
Pak @jokowi tak bosan kami sampaikan kami karyawan tvri di seluruh daerah meminta kejelasan pencairan tukin kembalikan Helmy yahya. Pecat dewas krn tlah merugika karyawan dan tvri @JubirPresidenRI @setkabgoid #savetvri #pecatdewastvri,neutral
Dewas TVRI percepat PAW dirut TVRI pencairan tukin kami semakin tak menentu #savetvri @jokowi @setkabgoid @Komisi_ASN @DPR_RI @PDI_Perjuangan,neutral
BPK menyatakan kisruh di TVRI menyebabkan terhambatnya pencairan tunjangan kinerja atau tukin. https://t.co/W01nDMME0E,neutral
Kepala kantor kemenag kotim H.Samsudin berikan pembinaan pada Guru dan Pegawai Madrasah Aliyah Negeri Kotawaringin Timur Tahun 2020 kegiatan itu juga dirangkai dengan persyaratan pencairan Tunjangan Kinerja (TUKIN) https://t.co/8X3ck39mmw,neutral
@itakul Apa yang gk cair? Klo memang tukin menunggu S.O.P baru pencairan tp gk lama2 jg sih uang makan? Kebangetan gk tiap bulan mah yg itung males kali gaji? Setiap tgl 1 ini mah ,joy
Si unmag suka bikin lawakan motor masukin rumah dianya tukin Sultan aja enteng. Sok2 an ngebelain timnas padahal PR nya ET mah dia. Sorry bro gausah nanggepin twit saya beda konteks.,fear
@KompasTV Rakyat gak suka bayar pajak. Yang kaya pegawe2 nya. Pegawe djp becuk tukin dan insentifnya gila2an.,sadness
@tukin_dosenASN @Kemdiktisaintek @prabowo Pokoknya yang disana ga rela dosen itu sejahtera Kita udah tau aja juknis itu tujuannya adalah membuat ribet dan memotong apa yang sudah menjadi hak dosen mereka hanya tidak suka dosen mendapatkan haknya,neutral
@clumsysadkitten @nick_pati kalo manut aturan malah menciderai semangat tukin for all dan meninggalkan rekan dosen blu remun dan ptnbh aneh banget ada dosen yang suka sejahtera sendirian,joy
Wkwkkak akademisi pada protes di video tukin kemencake. Gk ada yg suka. Sok jd pahlawan bikin video watados bgt gitu gk inget apa dosen udah bertahun-tahun di bayar gk layak sama BEBAN KERJA dan PENDIDIKANNYA. Situ cuma d1 d3 tp tukin sultan soalnya kan duit dimakan sendiri ,trust
@ikhwanuddin @kogoromilenial Kalau pejabatnya tau diri dari thn 2020 jg dosen sdh dpt tukin seperti di kemenag. Dr moral pejabat yg suka foya2 dinas tinggal di kempinski bagi2 coach untuk pegawai sendiri sy sih menyangkal. Krn kakak teman sy jadi asisten direktorat disana jd tau uang negara kmn.,joy
@AntiElitGlobal Tergetnya bisa diganti dengan variabel lain Klo targetnya pemasukan pajak padahal ekonomi lagi sulit dan usaha lagi seret mereka ga mau tau dan suka nyari nyari kesalahan yang penting target tukin tercapai,sadness
@AfidhaFA @niwseir suka pake dalih penilaian secara jabatan kita yg dituduh tapi kita juga yg disuruh ngebuktiin kalo itu salah . buat pegawai pajaknya kejar setoran biar target tercapai dan tukin turun ,anger
@Blackburger_28 @Y_D_Y_P Gw kalo liat tabel gaji &amp; tukin bintara &amp; tamtama itu kdg suka kasian. Apalg kalo lg penugasan yg jauh gt. Tgs seabrek beban kerja g karuan tekanan mental &amp; fisik ga abis2 blm lg budaya 'siapa masuk duluan' yg kdg g sehat. Jd inget era2 sblm ada tukin &amp; medsos semasif skrg.,joy
@sobobola @doubleD_0224 @Kemdiktisaintek @KemenkesRI @prabowo @pekerjakampus @tukin_dosenASN @Gerindra Dia hr hr yang suka nyusahin calon pekerja baru jangan jangan,neutral
Direba da ya taɓa tukin motoci da yawa ƙwararre ne amma mota da direbobi da yawa suka taɓa tukawa shara ce. Karanta da kyau fa! ... sai da safe ,neutral
@rearume Bener inii ngapa ga ditanyain gt loh kyk kasih email pemberitahuan P/L-3 jd yg diproses further yg mau mau aja. Inimah asal jebret main taro2 anak org di antah berantah jauh dr tempat yg dilamar ya mundur laah udh mana gaji tukin seiprit cair nya suka lelet,joy
@Tunniskao @Bonakm_ @daniellsinaga_ @grok Ga semua daerah ada Tukin kecuali pusat.. Yang di Pemda cuma dapat gapok dan kalau ada sertifikasi yang dibayar sekali 3 bulan sebanyak gapok... Itupun suka telat,fear
Marmood itu kurang kerjaan atau gimana ya di institusinya sendiri sampai punya ide mentokin pencairan tukin di level 70%? Kalau emang kurang kerjaan dan suka ngurusin hal yang bukan wilayah dia suruh aja dia ngaspal jalan Anyer sampe Panarukan.,neutral
@mrs_liar79 Oh jangan2 masuk otsorsing - -a ... KLO kaya gini biasanya otsorsing niih.. karena di pemerintahan jarang potong gaji karena absen.. yg di potong itu Tukin.. Atau yah bendaharanya yg suneh(suka aneh),joy
ini orang yg sama yg suka banding2in gaji tukin dll pdhl telat mulu suka edit cctv &amp; tipsen,joy
@ardisatriawan Krn gaji pokok kecil kasus tukin gak dibayarkan blm lagi pecairan tunjangan profesi suka molor dan dirapel. Banyak kasiannya mereka klo soal gaji.,joy
@sitertindas @PNS_Garis_Lucu inspektorat ini lemah selama kepala daerahnya sepolitik sama koruptor atau oknum2 ngeselin yg suka motongin gaji/tukin ya aman sih.,anger
Bayangkan pejabat kita tau kalau kondisi negara lagi pesakitan gini dan mereka dengan suka rela merubah anggaran dan mengurangi gaji tukin dan hal2 gk penting lainnya. Gak mungkin terjadi sih tapi bayangin aja dulu.,trust
@tukin_dosenASN Pengangkatan diundur suka-suka. Mengundurkan diri dari cpns kena blacklist 2 taun,neutral
@kompascom She's more like influncers daripads seorang wakil menteri yang sejujurnya dilantik buat menyelesaikan masalah di dalam kementerian. Gue liat-liat dari awal dilantik kayak lebih suka nongol di media kasih edukasi tapi kenapa permasalahan tukin dosen aja gak kelar.,trust
@_MbakSri_ Bukti mahasiswa mewakili generasi muda yg tdk suka efisiensi hidup hemat kecuali pemborosan dan foya-foya mewakili orgtua @prabowo @gibran_tweet @tukin_dosenASN @korantempo @jawapos @kompascom @jpnncom @inilahdotcom @geloraco @kumparan @kurawa @CNNIndonesia @Metro_TV @KompasTV,joy
@tatakujiyati Makanya info dari suami dulu yg dkt sama PNS DKI kalo PNS DKI banyak yg gk suka sama Pak Anies jd dia gk heran kalo Pak Anies gk menang pilpres/pilgub slaah satunya krn pemotongan anggaran tukin PNS saat Covid,surprise
Beneran kejadian. Kenalan ada yg udh jadi pns dki jaman covid dan tukin dipotong mayan bnyak(lupa nominal). Tapi ya kenalan gw fine2 aja karena pemotongannya transparan dan emng demi khalayak yg lebih membutuhkan.,neutral
@pastarain Gweh pasrah. Paling aku cuma suka tipis2 mancing tiap ada kebijakan aneh kyk gas efisiensi tukin dosen gitu2 kan. Rata2 tuh emg kontra sm kebijakan itu tp sejauh ini masih pro si gendut,joy
Apa presiden gak pengen menyingkirkan menteri-menteri yang suka bikin susah rakyat? Naikin pajak menghapus gas subsidi mengganggu pembayaran pensiun gak mau bayar Tukin dosen gak mau menegakan keadilan?,anger
@BudiBukanIntel Bagi para ninja Sunagakure yang elemennya angin dan memiliki senjata alat musik: Harap nyanyikan Lagu Ganyang Fufufafa dan Bayar bayar bayar karena para Zetsu Coklat tidak suka dengan lagu tersebut. Sekian dan terima ̷ ̷k̷a̷s̷i̷h̷ gaji + tukin,joy
@ferrykoto Walaupun permendikkbud sudah ada sejak 2020 apakah tukin dosen sudah dibayarkan,neutral
Dibalik pemerintah yang suka party itu ada anak umbies yang telat bayar kosan karna tukin ortu nya belom dibayar itu gw ya brengsek,fear
@CNNIndonesia What if - MSG diganti dengan pendidikan gratis dan internet gratis terutama di daerah terpencil - Efisiensi anggaran khusus untuk pejabat yg suka makan duit rakyat - Menteri² gak guna dipecat - Tukin dosen/guru dihapuskan - Dsb,trust
@mrrizki_24 @tukin_dosenASN Sya tau soal mk itu tapi kan jadi angin lalu mereka yang berani speak up doang kan yg tampil. Giliran begini semua tampal bak di zolimin gua ga suka pemerintahan yang zolim tp dosen2 terlalu byk bermain aman selama rezeim ini. Akui atau tdak ini krn urusan perut keganggu ,trust
@roseyiimwah @collegemfs Weew...ngadepin dosen2 skrg ribet bgt yak. Didikan feodal thn kpn si? Perasaan dosen2 skrg max kelairan 70an. Apa gegara tukin ga cair jd cari pelampiasan ke mahasiswa nya ya? Biasanya klo org yg suka mempersulit idupnya bakal susah juga ya klo ga ke dia ke anaknya si biasanya,neutral
pns sebenarnya: 07.30 - 16.00 kadang lembur kadang dapat telpon di hari cuti kadang zoom online di hari libur tukin sesuai kapasitas k/l nya sultan atau jelata. ada yang dirapel gajinya. pns di mata orang awam: absen - kelayapan - pulang media massa suka sekali menggoreng,fear
Tukin = Tunjangan Kinerja. Kinerjanya apa?,neutral
@undipmfs Lah kan 02 voters banyak suka puja puji mulyontod Omke gas omke gas tukin ga dibayar Gasss,neutral
Part ini yang gw suka. SAYA MERASA NAMA PAK PRABOWO DICEMARKAN (OLEH KEMDIKTISAINTEK) DOSEN ITU DEMONYA KE ISTANA GA KE DPR LAGI SOAL TUKIN MEREKA SEOLAH-OLEH TIDAK PERCAYA LAGI DENGAN DPR. INI KAN MENGANGGU..... KARENA KAMI JUGA LELAH DENGAN PERTANYAAN-PERTANYAAN https://t.co/lyUNYO9tQr,sadness
@PNS_Garis_Lucu aduh ini aja kyanya banyak dri unat lu yg tukin 2025 blm cair,neutral
Tukin dosen ga dibayar anggaran pendidikan dipotong beasiswa dikurangi honorer dipecat pejabat ga suka baca harga kertas mahal pajak buku masih ada. Rezim ini emang ga mau ada orang pinter lima tahun ke depan. Keeping the public uneducated is the oldest trick in the book.,trust
@fqapee @Jungpal9 @PNS_Garis_Lucu Kadang org pemda juga ngomongnya tukin tpp suka belibet,fear
@BudiBukanIntel percayalah kemensultan dan K/L lain yg sudah sangat tentram dengan tukin dan tunsusnya gaakan bisa digoyang krn atasan mereka sendiri juga Omke Gass,neutral
Sebenernya jadi dosen seru karena gue suka cerita. Cuma gue liat2 berita dan testimoni netizen gajinya gt. Tukin jg ga dikasih,joy
@JAstuti32696 @kpertiwi29 @tempodotco @tukin_dosenASN Iih ga suka masuk surga kli negara2 lain ga kaya Indonesia,joy
 Yaudahlah gausah serius2 banget ama kerjaan slow aja ntr jgbada yg beresin Eh please yg suka mikir gini kalo urusan tukin 13/14 dipotong gausah rame si paling menderita. Kesel banget dengernya ‍,fear
@mew_agent dosen kita ga bodoh. banyak dari mereka lulusan univ top luar/dalam negeri tapi mereka membodohkan diri sendiri karena kadang suka dibikin ketawa sama hibah pemerintah.,fear
@buihlangit @HadinataMichell Bukan tukin alasannya. Dimana² memang ga ada yg suka bayar pajak.,sadness
@Heraloebss turunkan tukin nya tukin nya naik tapi kinerja masih sama masih suka nyolong turunkan tukin kemenkeu,neutral
@Haikal88651720 @Ndons_Back @prabowo @are_inismyname @BANGSAygSUJUD @florieliciouss @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @jatmiko99604253 @Gerindra @KASN_RI @aparaturnegara_ @Menkumham @kumham_imipas Kamu bosan jd ASN ??? UU ASN dasar hukum ASN bkerja di institusi pemerintah sy gak suka tuh ada PNS TNIAU gol IVA mnduduki jab stara PNS gol II jg ada trima tukin tak ssuai aturan (data irjen TNIAU sy tunjukkn ke #pomau #reskrimPoldaDIY) bbrp kamu sebut di somasi gak jawab tu,fear
2. Cegah orang jahat berkuasa Hitam dan putih itu sangat samar sekarang. Kita bahkan kadang suka bingung menilai baik/buruknya pemimpin. Mulai sekarang tanamkan sikap skeptis. Misal: kalo si A berkuasa siapa yang diuntungkan? dari sana kita menilai secara objektf niatnya,fear
1. Terlibatlah dalam kekuasaan sekecil apapun. Jangan suka menghindar jika diamanahi sesuatu apalagi bila kamu mumpuni di bidang itu. memang amanah itu berat tapi apakah kamu rela diberikan ke orang yang salah ? Hancur!,anger
@kimjisu_suka @bungkikal99 @tukin_dosenASN @prabowo Pendidikan sama kesehatan kena nih dibanding polri https://t.co/2yH33ctwXm,trust
@tukin_dosenASN Byk yg gak suka sm pns katanya pns gajiny byk padahal pns beli mobil beli rumah beli motor it hasil ngutang klo gak ngutang berarti dpt warisan,neutral
@bungkikal99 @tukin_dosenASN @prabowo Mana ada polri gaji selangiiittt polri itu ASN juga. Gaji sama dgn ASN. Jgn asbun kalau ngomong.,joy
@tukin_dosenASN Kenapa ga efisiensi kementerian. Tunjangan2 pejabat2 eselon 1 dan 2. Pengadaan mobdin2 pejabat2. Kalo ASN kelas jelajah begini efek dominonya ke masy kecil. Daya beli anjlok . Ga ada yg jajan : ) kalo pejabat2 kelas atas. Jalannya fi luar negeri bukan di umkm,joy
@whaltsman Iyaa itu masalahnya. Gapok kan terstandar tp tukin suka-suka K/L. Akhirnya banyak ASN yg gajinya timpang bgt. Bagusnya sih dibikin standar gapok yg layak tukin jadi bonus . Jadi ga perlu dikasih tukin banyak dulu baru bisa hidup layak. ,trust
@loveniey @PartaiSocmed Tentu jadi atensi kalo ada matpel yang gurunya kosong atau overload solusinya apalagi selain mengangkat honorer? Ngambil dari dinas? Susah dan ribet. Dan pastinya para PNS kurang suka karena akan mengurangi TPP/Tukin mereka di instansinya.,joy
bajingan tukin terancam ga dibayarin bulan ini awkwowkwowk tolol bgt siapa sih yg suka bikin kebijakan dadakan gini?,anger
Gas 3 kg gak ada tukin dosen gak turun-turun sekarang PNS yang notabenenya the most stable job dah ombang-ambing. Hal ini terjadi setelah kenaikan PPn 12%. Suka-suka pemrenta ini aja lah mau sejauh apa lagi ngacak-ngacakin negara sampe ke tulangnya. Photo: @plisitin https://t.co/0UI44ob0KT,joy
@ilmi_tiara @tukin_dosenASN @Kemdiktisaintek Kayaknya patokannya PNS DKI atau PNS Kemenkue Atau PNS yang suka pungli dan korupsi kemudian bergaya hidup hedon ,neutral
Jaman mak jadi PNS taun 90an jg gini gada tukin adanya beras pns yg suka berkutu,neutral
@mikhara_ @tukin_dosenASN @Kemdiktisaintek @prabowo Blm lagi ada beberapa dosen yg suka flexing d tiktok aku ledekin aja di kolom komentar...dikira gw kagak tau apa tunjangan dan honor dosen berapeee.. Gw mah santuy office hour kerja di Sudirman suami juga karyawan swasta tp gw kagak demen flexing pake nama sebagai 'dosen' kalau,neutral
Sebenernya pe en ice itu enak ga enak sih. Enaknya ya insha Allah sampai tua terjamin. Ga enaknya ya harus ikutin kebijakan baru tiap ganti pemimpin. Penyesuaian lagi. Belom kalo awal tahun gaji sama tukin suka telat huhuhu,trust
@PNS_Garis_Lucu Tukin suka telat gak tiap bulannya ?,neutral
Sarapan bubur ayam + kopi hitam panas Bullion bank ini wes umum di negara maju tp gak di negara kita. Krn lbh suka habiskan anggaran utk bayar gaji tukin peja*at yg ga becus kerja drpd ditabung beli emas https://t.co/seIO9jN1bA,trust
Kalau dulu ada kebijakan suka diem karena ga ngaruh ke kehidupan aku. Hlah sekarang dikit dikit gebrakan kebijakan yang ya Allah ngerugiin bangettt ke aku yang kaum pelaksana. Beban kerja meningkat tukin pending gabisa Pi. Kalau protes langsung nanti kena mutasi. ,trust
@Aaazzzz17318787 @comeoutnplay9 @PNS_Ababil Pfft drdl kolam saya gaada nih flexi time. Kl masuk lebi dr 7.30 ya di potong tukin. Kl mau lembur minimal jam 6 keluar br dibayar kocak jd kdg lembur smp jam 5an suka ga dibayar. (Ini lembur bkn numpuk krjaan ya tp emg ada layanan tambahan buat masyarakay),neutral
@madHink @adepedia ente boleh ga suka SMI karena Pajak ga jadi (atau belum jadi) institusi sendiri (biar tukin lu makin gede) tapi kalo BUN yg disalahin lu yg ga paham UU Keuangan dan Perbendaharaan Negara,sadness
@tukin_dosenASN Wkwkwkwk itu esmelon yg kmren jilat pantatnya menteri yg suka kasar itu ya? Kalau di daerah sih Bidan Dokter Analis SDMA Auditor Perencana Guru Pengawas Penyelenggaraan Urusan Pemerintahan Daerah dll itu pegawai pemerintah Kab/Kota/Provinsi yg menduduki jabatan tsb.,trust
Kementrian yg dari dulu sudah maladministrasi. - tukin ga diajuin - urus tubel ga beres - BPI suka telat Kalian ini kerja ngga sih @Kemdiktisaintek ?,neutral
@tukin_dosenASN @Kemdiktisaintek Heran deh. Itu udah ngaku ada hak yg belum disampaikan. Ya kalau blm sanggup bayar knp ga kasih opsi lain? bayar nyicil misalnya? Yg penting tuh bayarrrr. Kelakuan kok 11-12 sama org yg suka ngutang ga bayar2 tapi buat seneng2 ada aja uangnya.,surprise
@tukin_dosenASN @Irul_Khai @Kemdiktisaintek Ini make sense sih di Indo emg suka piara orang bodoh,neutral
@coketju dosen kamu itu suka ngamuk bukan darah tinggi cuma dimiskinkan negara aja. laper kan suka resek,neutral
@gufronian @tukin_dosenASN Ini yang gak dipahami Dewi Kemakmuran pokoknya seifisien mungkin anggaran kalau bisa gak dibayar lebih bagus. Lain cerita untuk ASN kebanggaannya kelas jabatan bisa diatur suka-suka biar dapat Tukin yang legal ,trust
@worksfess Itu bpk bjir gile aje gak semuanya dapet sama segitu makanya suka ada istilah tukin sultan tukin jelata. Di pemda noh banyak yg gak dapet tpp (semacam tukin) makanya diblg timpang,fear
Bahkan w inget bgt satu dinas harus lembur gara2 tukin kadis terancam ga cair kalo beberapa KPI ga terpenuhi wkwkwk Sebenernya sistem di DKI emang keren bgt sih pasca pak anies. Makanya pelayanannya bagus. Cuma kebijakannya aja kadang suka blunder,fear
@ardisatriawan Pemrenta emang paling suka bikin ribet sendiri. ASN komponen penghasilan (THP) dibikin ribet pake gaji uang makan Tukin/TPP Tunjab uang beraslah uang saku dinas dll. Padahal jadiin satu aja tapi yang layak kocak.,trust
@TirtoID Bagus ini... Cara meredam dosen yg suka kritis.. betul ngak @tukin_dosenASN ,joy
Dulu gue suka dia karena latbel pendidikan dia yg oke di militer dan dia lulusan UI juga. Tapi yaudah abis itu males bgt liat dia. Kalo masalah kekayaan dia beneran diluar nalar sih. Ada Tukin lain kah kalo ajudan presiden? Idk. Terserah deh,trust
